x,y,z,vx,vy,vz,gmag,bprp
-8.306,0.047,0.118,7.234,235.008,4.763,6.051,1.126
-8.301,0.097,0.007,28.105,246.855,-10.822,4.985,0.917
-8.329,0.072,-0.032,-23.835,231.076,-12.543,7.688,1.836
-8.342,-0.087,0.054,-10.827,222.011,0.022,8.237,1.914
-8.357,-0.044,0.099,-24.116,213.501,11.719,4.344,0.796
-8.362,0.075,0.007,-7.496,243.409,1.406,4.350,0.768
-8.336,-0.091,0.050,19.485,231.814,-15.612,4.358,0.829
-8.227,0.038,-0.027,-94.692,164.061,-28.912,4.627,0.794
-8.237,0.071,0.062,-31.817,239.503,12.328,5.025,0.868
-8.351,-0.074,0.073,1.026,210.272,-4.157,8.111,1.851
-8.369,0.052,0.080,28.124,213.570,27.797,6.862,1.425
-8.301,0.100,0.029,-15.099,237.397,-1.440,5.057,0.862
-8.217,0.002,0.085,2.002,230.820,-5.954,5.986,1.137
-8.218,-0.005,0.086,-78.817,196.753,14.948,7.276,1.664
-8.254,0.083,0.061,-32.151,227.408,-3.732,4.692,0.865
-8.230,0.043,0.087,6.126,247.804,-11.547,4.888,0.818
-8.223,-0.004,-0.033,7.325,255.308,6.893,2.570,0.571
-8.256,0.075,0.079,41.381,246.347,0.541,4.912,0.830
-8.249,0.086,0.033,-13.556,239.483,20.062,7.947,1.989
-8.241,-0.079,0.046,20.697,186.659,6.007,7.719,1.800
-8.328,-0.086,0.072,-13.835,227.866,38.133,5.039,0.841
-8.379,0.061,0.031,17.568,212.738,-4.737,7.901,1.818
-8.294,-0.091,-0.011,-8.551,237.790,12.733,8.316,2.179
-8.260,0.054,-0.044,-5.297,236.443,-12.440,7.752,1.769
-8.316,0.094,0.058,21.076,232.357,8.217,6.126,1.223
-8.333,0.073,0.090,76.453,239.659,-10.073,5.199,0.933
-8.271,0.083,-0.017,33.658,218.926,-13.479,8.332,2.028
-8.273,-0.095,0.043,1.536,243.841,8.397,5.400,1.335
-8.316,-0.085,-0.020,13.623,246.200,0.133,8.240,1.895
-8.273,-0.089,0.066,-8.431,178.927,19.383,6.675,1.420
-8.231,-0.005,-0.042,15.680,254.094,-3.655,7.567,1.247
-8.383,0.035,0.073,14.785,221.093,12.574,5.720,1.054
-8.267,-0.002,-0.064,-8.464,237.050,3.023,4.758,0.816
-8.222,0.029,0.085,-17.127,226.482,9.416,8.503,2.007
-8.278,0.033,-0.062,46.243,254.868,-24.602,5.536,0.924
-8.340,-0.091,0.027,9.355,234.455,4.608,6.575,0.652
-8.282,0.033,-0.062,-47.660,159.210,-74.493,5.526,0.937
-8.379,-0.061,0.034,23.478,238.918,1.927,8.267,1.845
